key,method,problem,status,enc_time,total_solve_time,vars,cls,lits
1744,SavileRow (GPW),./experiments/mbkp-control/lps/2/3_18.lp,Sat,4.068882,0.049761046,111536,395596,1001447
1746,SavileRow (GMTO),./experiments/mbkp-control/lps/2/3_18.lp,Sat,5.742258,2.691294,62953,234494,637952
1746,SavileRow (GMTO),./experiments/mbssp-control/lps/2/075.lp,Unknown,1.1961812,,5230,18531,49994
1747,Fun-sCOP (),./experiments/mbssp-control/lps/2/075.lp,Unknown,4.1050777,,153476,430950,1263592
1747,Fun-sCOP (),./experiments/mbkp-control/lps/2/3_18.lp,Sat,58.26818,10.663014,5598590,15612469,45399961
1750,Picat-SAT,./experiments/mbkp-control/lps/2/3_18.lp,Sat,1.6276491,12.07457,41633,359402,1658317
1750,Picat-SAT,./experiments/mbssp-control/lps/2/075.lp,Sat,0.63075924,2.9322298,1589,13653,62569
1751,SavileRow (GT),./experiments/mbkp-control/lps/2/4_18.lp,Timeout,,,,,
1751,SavileRow (GT),./experiments/mbssp-control/lps/2/076.lp,Unknown,24.398926,,70384,15983763,47918628
1752,SavileRow (SWC),./experiments/mbssp-control/lps/2/076.lp,Unknown,2.9823449,,286766,2910104,8185076
1752,SavileRow (SWC),./experiments/mbkp-control/lps/2/4_18.lp,Memory,,,,,
1753,SavileRow (BDD),./experiments/mbkp-control/lps/2/4_18.lp,Unknown,23.498846,,2090747,19865858,55549127
1753,SavileRow (BDD),./experiments/mbssp-control/lps/2/076.lp,Unknown,2.6594095,,81099,782882,2181012
1754,SavileRow (GPW),./experiments/mbkp-control/lps/2/4_18.lp,Sat,3.262968,8.308934,110953,392315,992710
1754,SavileRow (GPW),./experiments/mbssp-control/lps/2/076.lp,Unknown,1.0775257,,8712,32167,82309
1756,SavileRow (GMTO),./experiments/mbssp-control/lps/2/076.lp,Unknown,1.3286448,,5206,18319,49364
1756,SavileRow (GMTO),./experiments/mbkp-control/lps/2/4_18.lp,Sat,6.171187,10.617244,62988,233882,635322
1757,Fun-sCOP (),./experiments/mbkp-control/lps/2/4_18.lp,Sat,58.793194,10.790456,5610016,15654579,45528735
1757,Fun-sCOP (),./experiments/mbssp-control/lps/2/076.lp,Unknown,3.8983293,,165061,464717,1363899
1760,Picat-SAT,./experiments/mbssp-control/lps/2/076.lp,Sat,0.6136471,1.4011326,1589,13522,61600
