key,method,problem,status,enc_time,total_solve_time,vars,cls,lits
19,BDD + Mix(25),./experiments/mbkp/lps/1/2_00.lp,Unknown,0.31583443,,25782,110879,355776
19,GT + Ord,./experiments/mbssp/lps/1/002.lp,Unknown,5.0665727,,31754,5855681,15911921
20,Picat-SAT,./experiments/mbkp-control/lps/1/2_00.lp,Unsat,1.3203752,14.345243,26680,208540,939739
20,BDD + Mix(75),./experiments/mbkp/lps/1/2_00.lp,Unknown,0.32194868,,28163,111994,359058
20,BDD + Bin,./experiments/mbssp/lps/1/002.lp,Sat,0.11881401,13.774596,9732,44253,133014
20,Picat-SAT,./experiments/mbssp-control/lps/1/002.lp,Sat,0.98364145,11.25788,4831,29085,111110
21,SavileRow (GT),./experiments/mbssp-control/lps/1/003.lp,Sat,5.707233,0.14281954,48174,3323634,9948110
21,BDD + Mix(25),./experiments/mbssp/lps/1/002.lp,Memory,,,,,
21,SavileRow (GT),./experiments/mbkp-control/lps/1/3_00.lp,Unknown,151.94797,,556124,109310451,327724583
22,SavileRow (SWC),./experiments/mbssp-control/lps/1/003.lp,Sat,3.2429614,50.39467,607387,1186200,2934568
22,BDD + Ord,./experiments/mbkp/lps/1/2_00.lp,Unknown,0.87619275,,337153,668782,1663199
22,BDD + Mix(75),./experiments/mbssp/lps/1/002.lp,Memory,,,,,
22,SavileRow (SWC),./experiments/mbkp-control/lps/1/3_00.lp,Unknown,15.100141,,1814220,18257125,50412300
23,GT + SPLIT + PB + Ord,./experiments/mbkp/lps/1/2_00.lp,Unknown,6.087198,,80518,7828164,19725370
23,SavileRow (BDD),./experiments/mbkp-control/lps/1/3_00.lp,Unknown,8.895271,,555066,5398464,14748967
23,SavileRow (BDD),./experiments/mbssp-control/lps/1/003.lp,Unknown,2.0767338,,149431,287180,712103
24,SavileRow (GPW),./experiments/mbssp-control/lps/1/003.lp,Sat,1.661141,32.407265,19183,89799,250194
24,SavileRow (GPW),./experiments/mbkp-control/lps/1/3_00.lp,Unsat,3.0450552,12.106644,82919,287356,724073
24,BDD + Ord,./experiments/mbssp/lps/1/002.lp,Unknown,0.5246046,,120263,476067,1187121
24,BDD + SPLIT + PB + Ord,./experiments/mbkp/lps/1/2_00.lp,Unknown,0.8665848,,337153,668782,1663199
25,GT + SPLIT + Ord,./experiments/mbssp/lps/1/002.lp,Unknown,5.971013,,67632,6413683,17577997
25,GT + Bin,./experiments/mbkp/lps/1/3_00.lp,Unsat,0.87464505,42.159016,14776,76166,247188
26,GT + Mix(25),./experiments/mbkp/lps/1/3_00.lp,Unknown,0.8885061,,14034,53673,181612
26,SavileRow (GMTO),./experiments/mbssp-control/lps/1/003.lp,Sat,2.0767798,35.751465,17482,38550,112510
26,SavileRow (GMTO),./experiments/mbkp-control/lps/1/3_00.lp,Unsat,3.5430062,3.4378607,49632,178906,483317
26,BDD + SPLIT + Ord,./experiments/mbssp/lps/1/002.lp,Unknown,0.61626256,,240531,476150,1187336
27,GT + SPLIT + PB + Ord,./experiments/mbssp/lps/1/002.lp,Unknown,5.8284693,,67632,6413683,17577997
27,Fun-sCOP (),./experiments/mbkp-control/lps/1/3_00.lp,Unsat,11.965853,27.22473,1147224,3224021,9350298
27,GT + Mix(75),./experiments/mbkp/lps/1/3_00.lp,Unsat,0.88526976,15.42005,14081,53826,182055
27,Fun-sCOP (),./experiments/mbssp-control/lps/1/003.lp,Unknown,4.6175613,,152314,430760,1266280
28,BDD + SPLIT + PB + Ord,./experiments/mbssp/lps/1/002.lp,Unknown,0.62447697,,240531,476150,1187336
29,GT + Ord,./experiments/mbkp/lps/1/3_00.lp,Unknown,6.126338,,81237,8030301,20176625
29,GT + Bin,./experiments/mbssp/lps/1/003.lp,Sat,0.69493765,3.246475,6678,34373,110472
30,Picat-SAT,./experiments/mbkp-control/lps/1/3_00.lp,Unsat,1.358741,35.414005,26761,207895,935766
30,GT + Mix(25),./experiments/mbssp/lps/1/003.lp,Sat,0.726631,3.38767,6313,55941,164296
30,Picat-SAT,./experiments/mbssp-control/lps/1/003.lp,Sat,0.89904505,12.666855,4858,29169,111251
30,BDD + Bin,./experiments/mbkp/lps/1/3_00.lp,Unknown,0.3171236,,21879,96087,287259
